"","rfe","imp","mrmr","olden"
"SSSH_01",1.70910862960573,0.13757397291132,0.299329664903814,0.0515210834683523
"SSSH_02",0.881407817373726,0.279950515344783,-0.26108549558013,0.238295358321625
"SSSS_01",0.386222527385931,-0.155164982303549,0.0731157895103208,-0.0640988300638481
"SSSS_02",0.173015690291838,0.567570026380225,-0.313666881260211,0.189196538273179
"SSSC_01",0.0487252540431464,0.108335683635856,-0.129507895974137,0.145788101461597
"SSSC_02",-0.101876880405429,0.0513154629917218,-0.152947865562053,0.588022885357317
"CFAL_01",-0.158209139561203,0.279059080449907,0.0444120488600467,0.0519735202611725
"CFAL_02",-0.172352334856793,0.421159607915705,0.118723816665055,-0.14078697454796
"CFAL_03",-0.181349775813999,0.419939218089555,0.126060280241807,-0.116900470372199
"CFAL_04",-0.172344254506702,-0.154567453668949,0.393911640566011,-0.0228416723215983
"CFAL_05",-0.172291529570072,0.338202919748177,0.120960768836759,0.0889475508986392
"CFAL_06",-0.169088786643997,-0.0464555267081654,0.36263893592336,0.222993645439892
"CFAL_07",-0.176405248304634,-0.136791895674037,0.226682125644703,-0.0420995390104355
"CFAL_08",-0.173363372611672,-0.133945506771335,0.121833670595055,-0.139851594138867
"CFAL_09",-0.171934906874205,-0.130458027602763,0.336869310232553,0.122058779804904
"CFAL_10",-0.163902292976403,0.390857771747705,0.35364909587396,-0.106105153870191
"WSAL_01",-0.160749382851929,0.297776760792051,-0.254689646989231,-0.127175619988529
"WSAL_02",-0.149474991304411,-0.0570643428660935,0.338731175714875,-0.370825425105813
"WSAL_03",-0.148074858318291,0.534618908855681,-0.294560187168105,-0.0561844034147555
"WSAL_04",-0.138087963647785,-0.0439872087027283,0.242729499431658,0.0397883522353941
"WSAL_05",-0.124293113171572,0.48478342733515,0.0274948169497498,-0.153364953574214
"WSAL_06",-0.117972190984808,-0.0387803784065829,-0.481859157869711,0.0887463123066435
"WSAL_07",-0.105045549449138,0.0939796375671096,0.163040563084244,-0.598191786695276
"WSAL_08",-0.101815374999426,0.237391402287761,-0.028651264771897,0.00348404028097074
"WSAL_09",-0.0890220866730615,0.484541920820257,0.22249013871273,-0.330357591062351
"WSAL_10",-0.081438128896113,-0.122789504148946,0.177777275419149,-0.573186833047252
"SBAK_01",-0.0795574360384968,-0.155945778912151,-0.153878120808456,0.157957227742735
"SBAK_02",-0.0668453370510915,-0.155945778912151,-0.0300803174180878,-0.384715235090107
"SBAK_03",-0.0699862488907303,-0.155945778912151,-0.038725314052826,-0.153431763204413
"SBAK_04",-0.0553196007939016,-0.155945778912151,0.31423267140009,0.277786153306296
"SBAK_05",-0.0492905746035698,-0.155945778912151,-0.111546184974017,-0.155566670933358
"SBAK_06",-0.0424689092351874,-0.155945778912151,0.12926522057994,0.148444549298506
"SBAK_07",-0.0434575156350824,-0.155945778912151,0.00975971062459251,0.0244218265870709
"SBAK_08",-0.039904402801891,-0.155945778912151,-0.114789454962421,-0.24100767928232
"SBAK_09",-0.0269222601794816,-0.155945778912151,0.196052213983831,0.450441565291902
"SBAK_10",-0.0291536350395235,-0.155945778912151,0.297084476253652,0.277277583753529
"SBAR_01",-0.0194569802079509,-0.155945778912151,-0.285763014812391,-0.101781592974893
"SBAR_02",-0.0176176248523311,-0.155945778912151,-0.1083683218105,-0.156497648735554
"SBAR_03",-0.0222393593894125,-0.155945778912151,-0.128650200676384,-0.307470642421905
"SBAR_04",-0.0150495388811407,-0.155945778912151,0.298761516374069,-0.0775372904537724
"SBAR_05",-0.0074837882557573,-0.155945778912151,-0.231462093726228,-0.271990192220964
"SBAR_06",-0.00732011925641744,-0.155945778912151,0.0128353987962866,-0.582422489921001
"SBAR_07",-0.00357693985670246,-0.155945778912151,-0.0909055830597203,0.31832361546939
"SBAR_08",0.00181702216448147,-0.155945778912151,-0.243659691181586,-0.142070333081454
"SBAR_09",-0.000183610226342617,-0.155945778912151,0.0971486776651336,0.0536609352518919
"SBAR_10",0.00346870521498718,-0.155945778912151,0.280204879940725,0.415898076042642
"SBAN_01",0.00630254305759327,-0.155945778912151,-0.372984924440993,-0.209377497877209
"SBAN_02",0.00274171173717183,-0.155945778912151,-0.178806218187199,0.217502317224495
"SBAN_03",0.00901622567278014,-0.155945778912151,-0.209013163835072,-0.237098161496328
"SBAN_04",0.0110257163986187,-0.155945778912151,0.293762047531296,0.26094725934113
"SBAN_05",0.0147012988252462,-0.155945778912151,-0.314619231000741,0.0113406605601454
"SBAN_06",0.00956664196758982,-0.155945778912151,-0.0727857575295158,-0.0201377669611647
"SBAN_07",0.0171908996946777,-0.155945778912151,-0.170286851348424,0.00429802215881744
"SBAN_08",0.0142807331426956,-0.155945778912151,-0.33150980922163,0.0159784644196282
"SBAN_09",0.0156928093743555,-0.155945778912151,0.0263330936381986,-0.11051399746463
"SBAN_10",0.0137732182565771,-0.155945778912151,0.253239157349844,0.270159778993155
"SBAS_01",0.0136530985382108,-0.155945778912151,-0.445374006357545,0.0848958074052209
"SBAS_02",0.0223965478991096,-0.155945778912151,-0.235894442979544,0.201672702820644
"SBAS_03",0.0222656296874969,-0.155945778912151,-0.271919184753201,0.24926542000204
"SBAS_04",0.0166094685454001,-0.155945778912151,0.279117488834172,0.205736685436073
"SBAS_05",0.0217317222335617,-0.155945778912151,-0.38440590074118,-0.475507727454036
"SBAS_06",0.0219653173526216,-0.155945778912151,-0.140134410981633,-0.236330103554358
"SBAS_07",0.0247899438067762,-0.155945778912151,-0.240432955363551,0.0972981112925752
"SBAS_08",0.0207538278143062,-0.155945778912151,-0.401849325737995,0.0130535463360762
"SBAS_09",0.0164079895173541,-0.155945778912151,-0.0265750983886531,0.138300070779682
"SBAS_10",0.0243310601183174,-0.155945778912151,0.239634205817219,0.203707379083888
"WSSB_01",0.0204880483551619,0.223408136173759,0.373324748390351,0.610810905767504
"WSSB_02",0.0239775735429422,0.775494573607862,0.355832405504612,0.0500646167765782
"WSSB_03",0.0183270434745946,0.656109655907065,0.138054331880075,-0.192649176459651
"WSSB_04",0.0178578639748597,0.378739878801193,0.351192664157517,0.228029102567967
"LENGTH",0.0213134645487937,0.0970274219763323,-0.444897552362486,0.0799882649811409
